category,productName,shortDescription,sku,price,imageUrl,
Chair,Armchair,A refined armchair from the Elegance Ensembles collection,ABC1234XYZ,456,https://images.pexels.com/photos/1366872/pexels-photo-1366872.jpeg?w=1280&h=1920,
Table,Elegant Dining Table,The Gourmet Gatherings collection presents an elegant dining table,PRT5678LMN,321,https://images.pexels.com/photos/1813502/pexels-photo-1813502.jpeg?w=1280&h=1920,
Couch,Leather Couch,Embrace luxury with the Hospitality Harmony leather couch—a perfect synthesis of opulence and comfort,GHT9012DEF,2231,https://images.pexels.com/photos/1866149/pexels-photo-1866149.jpeg?w=1920&h=1280,
Desk,Built-in Corner Desk,Enhance your space with the Modular Comforts built-in corner table,QWE3456JKL,125,https://images.pexels.com/photos/6580227/pexels-photo-6580227.jpeg?w=1280&h=1920,
Chair,Fabric Chair,The Hospitality Harmony fabric chair combines chic aesthetics with comfort,MNO7890PQR,546,https://images.pexels.com/photos/4846437/pexels-photo-4846437.jpeg?w=1280&h=1920,
Table,Sitting Table,The Grandeur Suites sitting table presents a fusion of sophistication and practicality,?,1795,https://images.pexels.com/photos/1366879/pexels-photo-1366879.jpeg?w=1280&h=1920,
Table,Distressed Finish Dining Table,Country Charm brings warmth with a distressed finish dining table,LMN5678GHI,1495,https://images.pexels.com/photos/2098913/pexels-photo-2098913.jpeg?w=1280&h=1920,
Chair,Wicker Reading Chair,Embrace relaxation with the Woven Elegance wicker reading chair—a harmonious blend of style and comfort,XYZ9012MNO,220,https://images.pexels.com/photos/2369535/pexels-photo-2369535.jpeg?w=1280&h=1920,
Chair,Wicker Corner Chair,Woven Elegance's corner chair,DEF3456JKL,195,https://images.pexels.com/photos/3705539/pexels-photo-3705539.jpeg?w=1280&h=1920,
Table,Round Stone Table,Hospitality Harmony introduces a round stone table,JKLP7890ABC,254,https://images.pexels.com/photos/4846455/pexels-photo-4846455.jpeg?w=1280&h=1920,
Table,Meeting Table,Executive Summit's meeting table offers a sleek and professional space for collaboration,2345ABCXYZ,2310,https://images.pexels.com/photos/6758285/pexels-photo-6758285.jpeg?w=1920&h=1280,
Table,Glass Coffee Table,The Grandeur Suites glass coffee table adds a touch of contemporary elegance,PRT6789GHI,1785,https://images.pexels.com/photos/6487946/pexels-photo-6487946.jpeg?w=1920&h=1280,
Headboard,Wooden Bed Frame and Headboard,Grandeur Suites presents a wooden bed frame and headboard—masterfully crafted,GHT0123MNO,2135,https://images.pexels.com/photos/6480198/pexels-photo-6480198.jpeg?w=1920&h=1280,
Headboard,Oversized Padded Headboard and Bedframe,Elegance Ensembles presents an oversized padded headboard and bedframe,QWE4567PQR,1865,https://images.pexels.com/photos/5998134/pexels-photo-5998134.jpeg?w=1920&h=1280,
Chair,Wide Sofa Chair,The Hospitality Harmony wide sofa chair combines style and comfort,MNO8901JKL,1465,https://images.pexels.com/photos/189295/pexels-photo-189295.jpeg?w=1920&h=1280,
Planter,Contemporary Planter,Moderno Sleek introduces a contemporary planter,2345ABCXYZ,870,https://images.pexels.com/photos/6283971/pexels-photo-6283971.jpeg?w=1920&h=1280,
Table and Chairs,Corner Meeting Set,Executive Summit's corner meeting set creates a stylish and collaborative space,LMN6789DEF,3210,https://images.pexels.com/photos/6045328/pexels-photo-6045328.jpeg?w=1920&h=1280,
Stool,Wicker Bar Stool,Metropolitan Sip presents a wicker bar stool,XYZ0123GHI,325,https://images.pexels.com/photos/1752399/pexels-photo-1752399.jpeg?w=1280&h=1920,
Table,Foyer Table,Elegance Ensembles' foyer table introduces a grand entrance,DEF4567PQR,540,https://images.pexels.com/photos/7195528/pexels-photo-7195528.jpeg?w=1920&h=1280,
Chair,Round Padded Seating,Metropolitan Sip's round padded seating offers a comfortable and stylish solution for social spaces,JKLP8901MNO,310,https://images.pexels.com/photos/17109108/pexels-photo-17109108.jpeg?w=1920&h=1280,
Table and Chairs,Oak Dining Table & Chairs,A country-style table with padded matching chairs for a less formal dining environment,?,4130,https://images.pexels.com/photos/17109123/pexels-photo-17109123.jpeg?w=1920&h=1280,
Desk,Classroom-Style Desk,When a conference room needs desk-like furniture this piece will serve the purpose in the most practical way,?,645,https://images.pexels.com/photos/19037688/pexels-photo-19037688.jpeg?w=1280&h=1920,
